provider_id,provider_name,lat,lng,radius_km,city,country_code
91938,Bufet пр-т Любові Малої,49.96671,36.18293,3.0,Kharkiv,ua
117134,Roll Club Академіка Сахарова,48.914027,24.712281,3.0,Ivano-Frankivsk,ua
109542,Pizza Day 167  вул. Лермонтова,47.90399,33.35696,3.0,Kryvyi Rih,ua
67369,Umami Sushi Тимошенка,50.51353,30.49732,3.0,Kyiv,ua
101999,Вічнозелені Ірпінь,50.518843,30.212859,3.0,Irpin,ua
195715,Папороть просп. Червоної Калини,50.50812,30.60636,3.0,Kyiv,ua
196210,Кафе Шарлотта,50.453052,30.490356,3.0,Kyiv,ua
21520,Shanhayskiy kit/Шанхайський Кіт Федорова,50.427097,30.508818,3.0,Kyiv,ua
48440,Sushi Master п-т Свободи,50.505111,30.43824,3.0,Kyiv,ua
52168,DÖNER МАРКЕТ Smart Plaza Політех,50.45157,30.46764,3.0,Kyiv,ua
57832,WeSushi ТЦ Оазис,50.522621,30.498857,3.0,Kyiv,ua
68281,Umami Sushi Людвіга Свободи,50.0569,36.2047,3.0,Kharkiv,ua
155924,"""Balta Pub"" пров. Балтійський",50.496649,30.467849,3.0,Kyiv,ua
164301,LKF,49.239713,28.493656,3.0,Vinnytsia,ua
173950,Піца-Крила Глибочицька,50.462807,30.488402,4.0,Kyiv,ua
8155,Porter Pub Хрещатик,50.44759,30.52393,3.0,Kyiv,ua
57813,WeSushi Мішуги,50.397867,30.638216,3.0,Kyiv,ua
39708,"Мамо, я в шапці Ревуцького",50.41166,30.64555,3.0,Kyiv,ua
48229,Sushi Master Васильківська,50.382072,30.476302,3.0,Kyiv,ua
59362,WeSushi Клавдіївська,50.477643,30.338236,3.0,Kyiv,ua
129740,Жуїстика Сільпо на Шептицького,50.456482,30.59377,3.0,Kyiv,ua
167663,Сузір'я,48.463751,35.05248,7.0,Dnipro,ua
172678,Що по чебурекам Глибочицька,50.462807,30.488402,4.0,Kyiv,ua
53650,Porter Pub Ореста Васкула,50.45739,30.36299,3.0,Kyiv,ua
67372,Umami Sushi Берестейський,50.45678,30.365418,3.0,Kyiv,ua
115847,КУМА ШАУРМА Куликове Поле,46.467504,30.744575,3.0,Odesa,ua
175834,Yoshi вул. Соборна,49.232774,28.472335,3.0,Vinnytsia,ua
176907,Foodie Box,50.419255,30.521058,3.0,Kyiv,ua
194707,чілміл Липківського,50.435866,30.490007,3.0,Kyiv,ua
57814,WeSushi Полярна,50.517043,30.463801,3.0,Kyiv,ua
68122,"Pizza Bella Napoli Володимира Мономаха, 2K",48.46638,35.04569,3.0,Dnipro,ua
114768,Lviv Croissants вул. Січових Стрільців,49.45052,27.01303,3.0,Khmelnytskyi,ua
154262,EatSushi Татарська,50.464451,30.486642,3.0,Kyiv,ua
175765,Yoshi вул. Стрілецька,49.24429,28.47868,3.0,Vinnytsia,ua
196060,На Часі,48.464798,35.040289,3.0,Dnipro,ua
57708,WeSushi Маяковського,50.50202,30.59145,3.0,Kyiv,ua
66325,BUDUSUSHI Марсельська,46.5702,30.80063,3.0,Odesa,ua
91310,"Lviv Croissants вул. Шевченка, 4",49.84279,24.017776,3.0,Lviv,ua
115042,Жуїстика Сільпо на Січових Стрільців,50.45611,30.49707,3.0,Kyiv,ua
8093,Viet Bar,50.4295,30.5157,3.0,Kyiv,ua
50970,Streets Ревуцького,50.41169,30.64553,9.0,Kyiv,ua
59389,WeSushi Львівська,50.43367,30.31916,3.0,Kyiv,ua
142904,Кафе Національ Урлівська,50.40735,30.61825,3.0,Kyiv,ua
154300,EatSushi пр-т Перемоги,50.0627,36.20442,3.0,Kharkiv,ua
194541,Mia Sushi,49.423272,26.995165,3.0,Khmelnytskyi,ua
126998,чілміл на Лаврухіна,50.516304,30.602151,3.0,Kyiv,ua
9645,Mafia Хрещатик,50.4522,30.526301,3.0,Kyiv,ua
22520,Chackmag Doner Іллєнка,50.466273,30.47425,3.0,Kyiv,ua
72166,Шаурмішка Юності,49.22419,28.41089,3.0,Vinnytsia,ua
162537,чілміл Андрія Верхогляда,50.40826,30.54246,3.0,Kyiv,ua
190241,FoodieSpace Миколайчука,49.874532,24.039665,3.0,Lviv,ua
192444,ТУТ шаверма шоп вул. Шевченка,49.422962,26.996009,3.0,Khmelnytskyi,ua
73800,Remeslo Brewery Григоренка,50.410791,30.625917,3.0,Kyiv,ua
138911,Street Food L&K,49.9627,36.09488,3.0,Kharkiv,ua
142910,Кафе Національ Тютюнника,50.416816,30.528896,3.0,Kyiv,ua
154270,EatSushi Шевченка,51.492132,31.302519,3.0,Chernihiv,ua
164073,“НЯМ by VARUS.UA” вул. Макіївська,50.508906,30.45345,3.0,Kyiv,ua
167249,EatSushi Стуса,48.515468,34.574239,3.0,Kamianske,ua
192121,Cafe Dash,50.442307,30.521577,3.0,Kyiv,ua
196279,Duna lounge,50.272725,28.657011,3.0,Zhytomyr,ua
21410,Супчик Салатик Макіївська,50.509431,30.453294,3.0,Kyiv,ua
50982,Streets Гавела,50.44331,30.41868,9.0,Kyiv,ua
57767,WeSushi Академіка Вільямса,50.389805,30.463029,3.0,Kyiv,ua
59409,WeSushi Дорогожицька,50.470616,30.461762,3.0,Kyiv,ua
71757,All Stars by ASAP генерала Пушкіна,48.4372,35.03273,9.0,Dnipro,ua
115049,Жуїстика Сільпо на Борщагівській,50.445229,30.444155,3.0,Kyiv,ua
173964,Gyoza&Go Велика Васильківська,50.422891,30.5189,4.0,Kyiv,ua
17530,"Євразія Червоної Калини, 44а",50.51689,30.61868,3.0,Kyiv,ua
25409,Барбекю меню від ASAP Миколайчука,50.43508,30.60643,3.0,Kyiv,ua
32218,Lviv Croissants Староєврейська 5,49.84045,24.03148,3.0,Lviv,ua
46297,Sushi Family б-р Слави,48.41231,35.06911,3.0,Dnipro,ua
79718,Київська шаурма №1 Голосіївський проспект 36,50.40478,30.51644,3.0,Kyiv,ua
82006,Remeslo Brewery Рильського,50.372047,30.446894,3.0,Kyiv,ua
117823,WeSushi вул. Горького,48.528562,35.868518,3.0,Pavlohrad,ua
162723,Cucina della Mamma Пушкіна,48.43728,35.03288,3.0,Dnipro,ua
159790,Marcello Нескорених,50.027382,36.33077,10.0,Kharkiv,ua
39752,"Мамо, я в шапці Яворницького",48.46444,35.0446,3.0,Dnipro,ua
102000,Poke Oke Ірпінь,50.518843,30.212859,3.0,Irpin,ua
109559,Pizza Day 061 вул. Гетьманська,47.905557,33.37502,3.0,Kryvyi Rih,ua
119310,чілміл на Івасюка,50.520203,30.51449,3.0,Kyiv,ua
128919,ChaCha Кропивницький,48.507061,32.242335,3.0,Kropyvnytskyi,ua
139394,Ресто by М'ясомаркет на вул. О. Бідного,49.571983,34.584291,3.0,Poltava,ua
174189,Dono Піца Західнодонбаська,48.497902,35.929328,3.0,Pavlohrad,ua
21506,Poke Oke Федорова,50.427097,30.508818,3.0,Kyiv,ua
34592,BUDUSUSHI просп. Шевченка,46.455082,30.751636,3.0,Odesa,ua
71715,Chick'n'Rice генерала Пушкіна,48.4372,35.03273,3.0,Dnipro,ua
89725,Tasty Greens ЖК Вікінг парк,49.80931,24.06166,3.0,Lviv,ua
173954,Піца-Крила Академіка Янгеля,50.447262,30.453185,4.0,Kyiv,ua
21403,Poke Oke Вацлава Гавела,50.44336,30.41859,3.0,Kyiv,ua
22564,Poke Oke Ревуцького,50.41184,30.64553,3.0,Kyiv,ua
31839,MONOпіца Драгоманова,50.41406,30.636596,4.0,Kyiv,ua
32614,Royal Kebab Пекарська 20,49.837751,24.038156,3.0,Lviv,ua
126045,ВАМ ДОНЕР? вул. Хрещатик,49.445539,32.062464,3.0,Cherkasy,ua
157670,Sushi Master Чарівна,47.839197,35.219416,3.0,Zaporizhia,ua
193699,"""Ваніль"" вул. Соборна 18",48.501049,32.249237,3.0,Kropyvnytskyi,ua
64694,Шаурмішка Соборна,49.234341,28.462251,3.0,Vinnytsia,ua
50935,Streets Броварський пр-т,50.456772,30.614039,9.0,Kyiv,ua
98368,This is Pivbar вул. Тростянецька,50.414636,30.649276,3.0,Kyiv,ua
22483,Poke Oke Урлівська,50.40734,30.61837,3.0,Kyiv,ua
24761,Maranello вул. Тарасівська,49.984041,36.262821,3.0,Kharkiv,ua
